Symbol,NSE_Ticker,Traded_As,Series,Date,Prev_Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover_Lacs,No_of_Trades,Delivery_Qty,Delivery_Pct
CDSL,NSE:CDSL,CDSL,EQ,2026-04-01,1119.4,1158.5,1195.9,1154.6,1184.0,1182.8,1184.21,2151571,25479.15,61887,613797.0,28.53
CDSL,NSE:CDSL,CDSL,EQ,2026-04-02,1182.8,1155.0,1191.0,1136.1,1183.9,1186.3,1159.17,2020485,23420.95,64966,637986.0,31.58
CDSL,NSE:CDSL,CDSL,EQ,2026-04-06,1186.3,1186.3,1209.9,1160.5,1204.0,1205.3,1190.15,2144856,25526.97,60390,518926.0,24.19
CDSL,NSE:CDSL,CDSL,EQ,2026-04-07,1205.3,1200.0,1206.0,1184.6,1203.0,1203.5,1197.85,1790857,21451.73,42004,422700.0,23.6
CDSL,NSE:CDSL,CDSL,EQ,2026-04-08,1203.5,1268.3,1292.0,1249.6,1291.0,1287.4,1274.2,4449476,56695.2,112375,1684760.0,37.86
CDSL,NSE:CDSL,CDSL,EQ,2026-04-09,1287.4,1285.7,1297.4,1261.2,1280.0,1279.3,1278.2,2724972,34830.51,65240,697936.0,25.61
CDSL,NSE:CDSL,CDSL,EQ,2026-04-10,1279.3,1290.0,1309.0,1286.8,1305.0,1303.4,1299.7,2534434,32940.0,58416,853703.0,33.68
CDSL,NSE:CDSL,CDSL,EQ,2026-04-13,1303.4,1265.3,1306.0,1255.1,1293.0,1290.6,1284.95,2222592,28559.13,60078,590032.0,26.55
CDSL,NSE:CDSL,CDSL,EQ,2026-04-15,1290.6,1323.0,1352.0,1318.1,1340.0,1339.8,1337.2,2943754,39363.95,64790,1003966.0,34.1
CDSL,NSE:CDSL,CDSL,EQ,2026-04-16,1339.8,1353.7,1373.9,1345.0,1370.0,1367.8,1356.93,2375688,32236.48,56873,773238.0,32.55
CDSL,NSE:CDSL,CDSL,EQ,2026-04-17,1367.8,1370.0,1399.9,1367.0,1395.0,1393.2,1386.76,2418769,33542.45,59814,748115.0,30.93
CDSL,NSE:CDSL,CDSL,EQ,2026-04-20,1393.2,1394.0,1401.1,1366.1,1366.3,1370.3,1376.95,2430970,33473.28,66847,919003.0,37.8
CDSL,NSE:CDSL,CDSL,EQ,2026-04-21,1370.3,1370.0,1375.5,1355.0,1362.0,1362.6,1365.66,1643169,22440.05,43231,536368.0,32.64
CDSL,NSE:CDSL,CDSL,EQ,2026-04-22,1362.6,1360.0,1367.2,1316.1,1323.5,1321.2,1331.67,3311575,44099.3,100328,1434235.0,43.31
CDSL,NSE:CDSL,CDSL,EQ,2026-04-23,1321.2,1317.0,1335.0,1312.6,1323.8,1323.6,1324.19,1334615,17672.87,40721,425230.0,31.86
CDSL,NSE:CDSL,CDSL,EQ,2026-04-24,1323.6,1323.6,1335.9,1304.2,1313.0,1312.8,1315.9,1395501,18363.44,44546,429530.0,30.78
CDSL,NSE:CDSL,CDSL,EQ,2026-04-27,1312.8,1315.0,1331.1,1314.5,1325.7,1324.1,1323.82,1084591,14358.01,32185,337493.0,31.12
CDSL,NSE:CDSL,CDSL,EQ,2026-04-28,1324.1,1324.1,1332.6,1318.0,1325.0,1324.6,1325.11,1238028,16405.24,33803,396194.0,32.0
